
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (2160 ELS. CTES.)   


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= 2160
  NÚMERO DE ELEMENTOS DE CONTORNO=  900
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= 2162
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
     242     -0.3000000D+01     -0.3333300D+01      0.0000000D+00
     243     -0.2666700D+01     -0.3333300D+01      0.0000000D+00
     244     -0.2333300D+01     -0.3333300D+01      0.0000000D+00
     245     -0.2000000D+01     -0.3333300D+01      0.0000000D+00
     246     -0.1666700D+01     -0.3333300D+01      0.0000000D+00
     247     -0.1333300D+01     -0.3333300D+01      0.0000000D+00
     248     -0.1000000D+01     -0.3333300D+01      0.0000000D+00
     249     -0.6666700D+00     -0.3333300D+01      0.0000000D+00
     250     -0.3333300D+00     -0.3333300D+01      0.0000000D+00
     251      0.1110200D-15     -0.3333300D+01      0.0000000D+00
     252      0.3333300D+00     -0.3333300D+01      0.0000000D+00
     253      0.6666700D+00     -0.3333300D+01      0.0000000D+00
     254      0.1000000D+01     -0.3333300D+01      0.0000000D+00
     255      0.1333300D+01     -0.3333300D+01      0.0000000D+00
     256      0.1666700D+01     -0.3333300D+01      0.0000000D+00
     257      0.2000000D+01     -0.3333300D+01      0.0000000D+00
     258      0.2333300D+01     -0.3333300D+01      0.0000000D+00
     259      0.2666700D+01     -0.3333300D+01      0.0000000D+00
     260      0.3000000D+01     -0.3333300D+01      0.0000000D+00
     261      0.3333300D+01     -0.3333300D+01      0.0000000D+00
     262      0.3666700D+01     -0.3333300D+01      0.0000000D+00
     263      0.4000000D+01     -0.3333300D+01      0.0000000D+00
     264      0.4333300D+01     -0.3333300D+01      0.0000000D+00
     265      0.4666700D+01     -0.3333300D+01      0.0000000D+00
     266     -0.4666700D+01     -0.3000000D+01      0.0000000D+00
     267     -0.4333300D+01     -0.3000000D+01      0.0000000D+00
     268     -0.4000000D+01     -0.3000000D+01      0.0000000D+00
     269     -0.3666700D+01     -0.3000000D+01      0.0000000D+00
     270     -0.3333300D+01     -0.3000000D+01      0.0000000D+00
     271     -0.3000000D+01     -0.3000000D+01      0.0000000D+00
     272     -0.2666700D+01     -0.3000000D+01      0.0000000D+00
     273     -0.2333300D+01     -0.3000000D+01      0.0000000D+00
     274     -0.2000000D+01     -0.3000000D+01      0.0000000D+00
     275     -0.1666700D+01     -0.3000000D+01      0.0000000D+00
     276     -0.1333300D+01     -0.3000000D+01      0.0000000D+00
     277     -0.1000000D+01     -0.3000000D+01      0.0000000D+00
     278     -0.6666700D+00     -0.3000000D+01      0.0000000D+00
     279     -0.3333300D+00     -0.3000000D+01      0.0000000D+00
     280      0.1110200D-15     -0.3000000D+01      0.0000000D+00
     281      0.3333300D+00     -0.3000000D+01      0.0000000D+00
