
 *******************************************************************************

EXEMPLO 3D ESTATICO SUPERFÍCIE TRUNCADA SEM INCLINAÇÃO (14400 ELS. CTES.)  


DADOS

  NÚMERO DE ELEMENTOS DA MALHA= ****
  NÚMERO DE ELEMENTOS DE CONTORNO= 6400
  NÚMERO DE PONTOS EXTREMOS DOS ELEMENTOS= ****
  NÚMERO DE PONTOS INTERNOS=  10
  NÚMERO DE PONTOS DE GAUSS=   8
  NÚMERO DE FREQÜÊNCIAS=   1
  MÓDULO DE CISALHAMENTO (REAL)=  0.1000000D+01
  COEFICIENTE DE POISSON=  0.3000000D+00
  COEFICIENTE DE AMORTECIMENTO=  0.0000000D+00
  DENSIDADE DE MASSA=  0.1000000D+01


DADOS DERIVADOS

  MÓDULO DE CISALHAMENTO (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-S (COMPLEXO)=  0.1000000D+01 0.0000000D+00
  VELOCIDADE DA ONDA-P (COMPLEXO)=  0.1870829D+01 0.0000000D+00

  FREQUENCIAS

   0.1000000D+01


  COORDENADAS DOS PONTOS EXTREMOS DOS ELEMENTOS DA MALHA

    PONTO          X                  Y                  Z
     171      0.4000000D+02      0.3100000D+02      0.0000000D+00
     172      0.4000000D+02      0.3000000D+02      0.0000000D+00
     173      0.4000000D+02      0.2900000D+02      0.0000000D+00
     174      0.4000000D+02      0.2800000D+02      0.0000000D+00
     175      0.4000000D+02      0.2700000D+02      0.0000000D+00
     176      0.4000000D+02      0.2600000D+02      0.0000000D+00
     177      0.4000000D+02      0.2500000D+02      0.0000000D+00
     178      0.4000000D+02      0.2400000D+02      0.0000000D+00
     179      0.4000000D+02      0.2300000D+02      0.0000000D+00
     180      0.4000000D+02      0.2200000D+02      0.0000000D+00
     181      0.4000000D+02      0.2100000D+02      0.0000000D+00
     182      0.4000000D+02      0.2000000D+02      0.0000000D+00
     183      0.4000000D+02      0.1900000D+02      0.0000000D+00
     184      0.4000000D+02      0.1800000D+02      0.0000000D+00
     185      0.4000000D+02      0.1700000D+02      0.0000000D+00
     186      0.4000000D+02      0.1600000D+02      0.0000000D+00
     187      0.4000000D+02      0.1500000D+02      0.0000000D+00
     188      0.4000000D+02      0.1400000D+02      0.0000000D+00
     189      0.4000000D+02      0.1300000D+02      0.0000000D+00
     190      0.4000000D+02      0.1200000D+02      0.0000000D+00
     191      0.4000000D+02      0.1100000D+02      0.0000000D+00
     192      0.4000000D+02      0.1000000D+02      0.0000000D+00
     193      0.4000000D+02      0.9000000D+01      0.0000000D+00
     194      0.4000000D+02      0.8000000D+01      0.0000000D+00
     195      0.4000000D+02      0.7000000D+01      0.0000000D+00
     196      0.4000000D+02      0.6000000D+01      0.0000000D+00
     197      0.4000000D+02      0.5000000D+01      0.0000000D+00
     198      0.4000000D+02      0.4000000D+01      0.0000000D+00
     199      0.4000000D+02      0.3000000D+01      0.0000000D+00
     200      0.4000000D+02      0.2000000D+01      0.0000000D+00
     201      0.4000000D+02      0.1000000D+01      0.0000000D+00
     202      0.4000000D+02     -0.1421100D-13      0.0000000D+00
     203      0.4000000D+02     -0.1000000D+01      0.0000000D+00
     204      0.4000000D+02     -0.2000000D+01      0.0000000D+00
     205      0.4000000D+02     -0.3000000D+01      0.0000000D+00
     206      0.4000000D+02     -0.4000000D+01      0.0000000D+00
     207      0.4000000D+02     -0.5000000D+01      0.0000000D+00
     208      0.4000000D+02     -0.6000000D+01      0.0000000D+00
     209      0.4000000D+02     -0.7000000D+01      0.0000000D+00
     210      0.4000000D+02     -0.8000000D+01      0.0000000D+00
     211      0.4000000D+02     -0.9000000D+01      0.0000000D+00
     212      0.4000000D+02     -0.1000000D+02      0.0000000D+00
     213      0.4000000D+02     -0.1100000D+02      0.0000000D+00
     214      0.4000000D+02     -0.1200000D+02      0.0000000D+00
     215      0.4000000D+02     -0.1300000D+02      0.0000000D+00
     216      0.4000000D+02     -0.1400000D+02      0.0000000D+00
     217      0.4000000D+02     -0.1500000D+02      0.0000000D+00
     218      0.4000000D+02     -0.1600000D+02      0.0000000D+00
     219      0.4000000D+02     -0.1700000D+02      0.0000000D+00
     220      0.4000000D+02     -0.1800000D+02      0.0000000D+00
     221      0.4000000D+02     -0.1900000D+02      0.0000000D+00
     222      0.4000000D+02     -0.2000000D+02      0.0000000D+00
     223      0.4000000D+02     -0.2100000D+02      0.0000000D+00
     224      0.4000000D+02     -0.2200000D+02      0.0000000D+00
     225      0.4000000D+02     -0.2300000D+02      0.0000000D+00
     226      0.4000000D+02     -0.2400000D+02      0.0000000D+00
     227      0.4000000D+02     -0.2500000D+02      0.0000000D+00
     228      0.4000000D+02     -0.2600000D+02      0.0000000D+00
     229      0.4000000D+02     -0.2700000D+02      0.0000000D+00
     230      0.4000000D+02     -0.2800000D+02      0.0000000D+00
     231      0.4000000D+02     -0.2900000D+02      0.0000000D+00
     232      0.4000000D+02     -0.3000000D+02      0.0000000D+00
     233      0.4000000D+02     -0.3100000D+02      0.0000000D+00
     234      0.4000000D+02     -0.3200000D+02      0.0000000D+00
     235      0.4000000D+02     -0.3300000D+02      0.0000000D+00
     236      0.4000000D+02     -0.3400000D+02      0.0000000D+00
     237      0.4000000D+02     -0.3500000D+02      0.0000000D+00
     238      0.4000000D+02     -0.3600000D+02      0.0000000D+00
     239      0.4000000D+02     -0.3700000D+02      0.0000000D+00
     240      0.4000000D+02     -0.3800000D+02      0.0000000D+00
     241      0.4000000D+02     -0.3900000D+02      0.0000000D+00
     242      0.3900000D+02     -0.4000000D+02      0.0000000D+00
     243      0.3800000D+02     -0.4000000D+02      0.0000000D+00
     244      0.3700000D+02     -0.4000000D+02      0.0000000D+00
     245      0.3600000D+02     -0.4000000D+02      0.0000000D+00
     246      0.3500000D+02     -0.4000000D+02      0.0000000D+00
     247      0.3400000D+02     -0.4000000D+02      0.0000000D+00
     248      0.3300000D+02     -0.4000000D+02      0.0000000D+00
     249      0.3200000D+02     -0.4000000D+02      0.0000000D+00
     250      0.3100000D+02     -0.4000000D+02      0.0000000D+00
     251      0.3000000D+02     -0.4000000D+02      0.0000000D+00
     252      0.2900000D+02     -0.4000000D+02      0.0000000D+00
     253      0.2800000D+02     -0.4000000D+02      0.0000000D+00
     254      0.2700000D+02     -0.4000000D+02      0.0000000D+00
     255      0.2600000D+02     -0.4000000D+02      0.0000000D+00
     256      0.2500000D+02     -0.4000000D+02      0.0000000D+00
     257      0.2400000D+02     -0.4000000D+02      0.0000000D+00
     258      0.2300000D+02     -0.4000000D+02      0.0000000D+00
     259      0.2200000D+02     -0.4000000D+02      0.0000000D+00
     260      0.2100000D+02     -0.4000000D+02      0.0000000D+00
     261      0.2000000D+02     -0.4000000D+02      0.0000000D+00
     262      0.1900000D+02     -0.4000000D+02      0.0000000D+00
     263      0.1800000D+02     -0.4000000D+02      0.0000000D+00
     264      0.1700000D+02     -0.4000000D+02      0.0000000D+00
     265      0.1600000D+02     -0.4000000D+02      0.0000000D+00
     266      0.1500000D+02     -0.4000000D+02      0.0000000D+00
     267      0.1400000D+02     -0.4000000D+02      0.0000000D+00
     268      0.1300000D+02     -0.4000000D+02      0.0000000D+00
     269      0.1200000D+02     -0.4000000D+02      0.0000000D+00
